"Lengths","P"
1,0.00471799104516996
2,0.00477175279344405
3,0.00482614827794596
4,0.00488118567753541
5,0.00493687329960067
6,0.00499321958275873
7,0.00505023309962883
8,0.00510792255968138
9,0.00516629681216504
10,0.00522536484911394
11,0.005285135808438
12,0.00534561897709857
13,0.00540682379437236
14,0.00546875985520636
15,0.0055314369136666
16,0.00559486488648365
17,0.00565905385669813
18,0.00572401407740926
19,0.00578975597562971
20,0.00585629015625021
21,0.00592362740611739
22,0.00599177869822846
23,0.00606075519604652
24,0.00613056825794021
25,0.00620122944175188
26,0.00627275050949833
27,0.00634514343220828
28,0.00641842039490116
29,0.00649259380171157
30,0.00656767628116434
31,0.00664368069160478
32,0.00672062012678939
33,0.00679850792164211
34,0.00687735765818138
35,0.00695718317162379
36,0.00703799855666979
37,0.00711981817397756
38,0.00720265665683113
39,0.00728652891800894
40,0.00737145015685961
41,0.00745743586659144
42,0.00754450184178277
43,0.00763266418612039
44,0.00772193932037339
45,0.00781234399061028
46,0.00790389527666719
47,0.00799661060087554
48,0.0080905077370576
49,0.00818560481979872
50,0.00828192035400544
51,0.0083794732247587
52,0.00847828270747202
53,0.00857836847836463
54,0.00867975062525987
55,0.0087824496587197
56,0.00888648652352628
57,0.00899188261052221
58,0.00909865976882113
59,0.00920684031840103
60,0.00931644706309285
61,0.00942750330397754
62,0.00954003285320492
63,0.00965406004824854
64,0.00976960976661073
65,0.00988670744099301
66,0.010005379074947
67,0.0101256512590223
68,0.0102475511874265
69,0.0103711066752169
70,0.0104963461760383
71,0.0106232988004272
72,0.0107519943347017
73,0.0108824632604538
74,0.0110147367746669
75,0.0111488468104785
76,0.0112848260586083
77,0.0114227079894758
78,0.0115625268760285
79,0.0117043178173062
80,0.0118481167627638
81,0.0119939605373798
82,0.0121418868675751
83,0.0122919344079704
84,0.0124441427690091
85,0.0125985525454746
86,0.0127552053459326
87,0.012914143823128
88,0.0130754117053695
89,0.0132390538289333
90,0.0134051161715209
91,0.0135736458868057
92,0.0137446913401046
93,0.0139183021452123
94,0.0140945292024359
95,0.0142734247378712
96,0.0144550423439611
97,0.0146394370213787
98,0.0148266652222791
99,0.0150167848949655
100,0.0152098555300168
101,0.0154059382079239
102,0.0156050956482865
103,0.0158073922606206
104,0.0160128941968311
105,0.0162216694054031
106,0.0164337876873706
107,0.0166493207541199
108,0.0168683422870889
109,0.0170909279994241
110,0.0173171556996609
111,0.0175471053574927
112,0.0177808591716981
113,0.0180185016402968
114,0.0182601196330074
115,0.0185058024660821
116,0.0187556419795967
117,0.0190097326172759
118,0.0192681715089357
119,0.0195310585556296
120,0.0197984965175853
121,0.0200705911050224
122,0.0203474510719461
123,0.02062918831301
124,0.0209159179635504
